dataset_number,r_mm_mean,theta_mean,r_mm_std,theta_std,Delta_r_mm,Delta_theta,Delta_t_s,IB_duration_s
0,24.339,-1.0442,0.000,-0.0000,0.304,-0.0289,0.040,0.040
0,24.642,-1.0731,0.075,0.0078,0.512,-0.0224,0.120,0.840
0,25.154,-1.0956,0.000,-0.0000,-0.202,-0.1139,0.120,0.040
0,24.952,-1.2095,0.193,0.0069,-0.652,-0.1327,0.160,0.280
0,24.300,-1.3421,0.000,-0.0000,-0.169,-0.0233,0.040,0.040
0,24.131,-1.3654,0.065,0.0082,-2.657,-0.1713,0.200,0.480
0,21.474,-1.5367,0.117,0.0103,-1.627,-0.1097,0.120,0.400
0,19.847,-1.6464,0.000,-0.0000,-0.347,-0.0350,0.040,0.040
0,19.500,-1.6814,0.082,0.0123,3.501,-0.0903,0.160,0.320
0,23.000,-1.7717,0.114,0.0061,0.413,-0.0282,0.040,0.080
0,23.413,-1.7999,0.137,0.0075,-2.936,-0.1652,0.160,0.280
0,20.477,-1.9650,0.093,0.0163,0.572,-0.1034,0.120,0.400
0,21.050,-2.0685,0.000,-0.0000,0.139,-0.0577,0.040,0.040
0,21.189,-2.1261,0.082,0.0122,0.688,-0.1551,0.160,0.560
0,21.876,-2.2813,0.093,0.0114,2.985,-0.0617,0.160,0.320
0,24.861,-2.3430,0.000,-0.0000,0.264,-0.0169,0.040,0.040
0,25.125,-2.3598,0.106,0.0042,-1.011,-0.0875,0.080,0.400
0,24.113,-2.4473,0.065,0.0044,0.124,-0.0241,0.040,0.120
0,24.237,-2.4714,0.065,0.0063,0.515,-0.0457,0.120,0.360
0,24.753,-2.5172,0.130,0.0036,-0.186,-0.1285,0.120,0.400
0,24.567,-2.6457,0.065,0.0111,0.044,-0.1366,0.160,0.840
0,24.611,-2.7823,0.070,0.0055,0.054,-0.0347,0.040,0.280
0,24.665,-2.8170,0.000,-0.0000,-0.237,-0.1089,0.080,0.040
0,24.429,-2.9259,0.053,0.0106,-0.955,-0.1818,0.160,0.320
0,23.473,-3.1076,0.055,0.0125,-1.232,-0.1541,0.160,0.720
0,22.242,3.0214,0.000,0.0000,-0.137,-0.0444,0.040,0.040
0,22.105,2.9771,0.041,0.0122,-0.332,-0.1383,0.160,0.280
0,21.772,2.8388,0.000,-0.0000,-0.008,-0.0474,0.040,0.040
0,21.764,2.7913,0.078,0.0121,-0.081,-0.0197,0.040,0.240
0,21.683,2.7717,0.000,-0.0000,0.337,-0.1100,0.120,0.040
0,22.020,2.6617,0.000,-0.0000,0.477,-0.0574,0.040,0.040
0,22.497,2.6043,0.090,0.0157,2.004,-0.0560,0.120,0.440
0,24.501,2.5483,0.103,0.0044,-0.880,-0.1691,0.200,0.240
0,23.622,2.3792,0.045,0.0059,0.031,-0.0211,0.040,0.120
0,23.652,2.3581,0.002,0.0014,-2.161,-0.1512,0.160,0.080
0,21.492,2.2069,0.000,-0.0000,-0.087,-0.0417,0.040,0.040
0,21.405,2.1652,0.098,0.0114,1.450,-0.1549,0.160,0.360
0,22.855,2.0103,0.000,-0.0000,0.718,-0.0241,0.040,0.040
0,23.573,1.9862,0.071,0.0038,0.641,-0.0223,0.080,0.360
0,24.213,1.9639,0.110,0.0035,-0.279,-0.1164,0.120,0.120
0,23.935,1.8475,0.086,0.0056,-3.112,-0.1581,0.160,0.280
0,20.823,1.6894,0.000,-0.0000,-0.019,-0.0542,0.040,0.040
0,20.803,1.6352,0.082,0.0133,-3.895,-0.1139,0.200,0.320
0,16.908,1.5213,0.000,0.0000,-0.234,-0.0365,0.040,0.040
0,16.675,1.4847,0.076,0.0038,-4.617,-0.0676,0.200,0.320
0,12.057,1.4172,0.242,0.0138,-0.203,-0.3838,0.160,0.200
0,11.854,1.0334,0.062,0.0354,-2.255,-0.2757,0.160,0.600
0,9.599,0.7577,0.115,0.0108,1.633,-0.3688,0.200,0.200
0,11.232,0.3889,0.060,0.0137,0.245,-0.0320,0.040,0.240
0,11.477,0.3569,0.037,0.0017,0.246,0.0090,0.040,0.080
0,11.723,0.3659,0.000,-0.0000,5.493,0.2141,0.200,0.040
0,17.216,0.5799,0.334,0.0027,0.066,0.3797,0.280,0.360
0,17.281,0.9596,0.037,0.0057,0.271,0.0136,0.040,0.120
0,17.552,0.9732,0.000,-0.0000,-0.153,0.2049,0.160,0.040
0,17.399,1.1781,0.091,0.0141,0.294,0.0397,0.040,0.240
0,17.693,1.2178,0.070,0.0058,2.312,0.1158,0.120,0.080
0,20.005,1.3336,0.181,0.0114,0.304,0.0303,0.040,0.360
0,20.310,1.3639,0.047,0.0021,-2.215,0.1796,0.160,0.080
0,18.094,1.5435,0.039,0.0078,-0.335,0.2523,0.240,0.200
0,17.759,1.7958,0.046,0.0066,0.257,0.2197,0.200,0.160
0,18.016,2.0155,0.149,0.0077,0.426,0.1781,0.120,0.440
0,18.442,2.1937,0.000,0.0000,0.193,0.0328,0.040,0.040
0,18.635,2.2265,0.055,0.0082,-0.041,0.0105,0.040,0.320
0,18.594,2.2370,0.000,-0.0000,-0.771,0.2300,0.240,0.040
0,17.823,2.4669,0.050,0.0028,0.101,0.0430,0.040,0.080
0,17.924,2.5100,0.076,0.0046,2.328,0.0008,0.120,0.120
0,20.252,2.5108,0.058,0.0045,4.585,0.0272,0.240,0.160
0,24.837,2.5380,0.114,0.0020,-0.061,0.0913,0.160,0.480
0,24.776,2.6293,0.072,0.0062,-0.046,-0.0794,0.040,0.400
0,24.730,2.5499,0.080,0.0061,-0.092,0.0755,0.080,0.240
0,24.637,2.6254,0.205,0.0024,0.155,0.0539,0.080,0.280
0,24.792,2.6793,0.040,0.0019,-0.103,0.1351,0.120,0.120
0,24.689,2.8144,0.045,0.0093,-0.174,0.1245,0.120,0.200
0,24.515,2.9389,0.046,0.0115,0.152,0.2927,0.280,0.200
0,24.667,-3.0516,0.028,0.0067,0.004,0.3227,0.280,0.160
0,24.671,-2.7289,0.046,0.0114,-0.683,0.1266,0.120,1.040
0,23.988,-2.6023,0.089,0.0067,0.755,0.1066,0.200,0.400
0,24.743,-2.4956,0.124,0.0014,-0.156,0.1338,0.160,0.200
0,24.588,-2.3618,0.106,0.0069,0.209,0.1005,0.080,0.400
0,24.797,-2.2613,0.111,0.0026,-0.293,0.1313,0.120,0.080
0,24.504,-2.1300,0.000,-0.0000,0.130,0.0270,0.040,0.040
0,24.634,-2.1030,0.027,0.0043,0.621,-0.0127,0.040,0.160
0,25.255,-2.1158,0.000,-0.0000,-0.177,0.1517,0.120,0.040
0,25.077,-1.9641,0.087,0.0064,-0.036,0.3162,0.360,0.360
0,25.041,-1.6478,0.079,0.0111,-0.073,0.1114,0.120,0.160
0,24.969,-1.5365,0.000,-0.0000,0.081,0.0207,0.040,0.040
0,25.050,-1.5158,0.040,0.0040,-0.446,0.1193,0.120,0.200
0,24.603,-1.3965,0.000,-0.0000,0.183,0.0450,0.040,0.040
0,24.787,-1.3515,0.039,0.0116,0.401,0.0033,0.040,0.440
0,25.187,-1.3482,0.000,-0.0000,-0.199,0.1337,0.200,0.040
0,24.988,-1.2145,0.065,0.0056,-0.173,0.1772,0.200,0.320
0,24.816,-1.0373,0.000,-0.0000,-0.107,0.0390,0.040,0.040
0,24.708,-0.9983,0.097,0.0129,-0.292,0.2641,0.240,0.360
0,24.416,-0.7342,0.079,0.0149,-0.096,0.0357,0.040,0.240
0,24.320,-0.6985,0.045,0.0044,-0.171,0.1895,0.240,0.280
0,24.149,-0.5089,0.059,0.0142,0.013,0.0072,0.040,0.440
0,24.162,-0.5018,0.000,-0.0000,0.225,-0.1639,0.120,0.040
0,24.386,-0.6656,0.212,0.0022,0.316,-0.1288,0.160,0.120
0,24.702,-0.7944,0.132,0.0018,-4.589,-0.2949,0.240,0.160
0,20.112,-1.0893,0.024,0.0146,0.161,-0.0264,0.040,0.160
0,20.274,-1.1157,0.102,0.0082,-0.125,-0.0870,0.120,0.120
0,20.148,-1.2028,0.000,-0.0000,0.542,-0.0367,0.040,0.040
0,20.690,-1.2394,0.101,0.0067,-1.815,-0.1103,0.160,0.280
0,18.875,-1.3497,0.073,0.0027,-2.713,-0.1453,0.200,0.240
0,16.162,-1.4950,0.000,0.0000,-0.106,-0.0398,0.040,0.040
0,16.056,-1.5348,0.000,-0.0000,0.270,-0.2006,0.160,0.040
0,16.326,-1.7354,0.032,0.0142,3.466,-0.2275,0.200,0.120
0,19.792,-1.9629,0.076,0.0056,5.531,-0.1654,0.160,0.080
0,25.323,-2.1283,0.055,0.0032,-0.287,-0.1631,0.120,0.160
0,25.036,-2.2914,0.037,0.0030,-2.554,-0.4810,0.440,0.160
0,22.482,-2.7723,0.181,0.0007,1.985,0.0432,0.080,0.120
0,24.467,-2.7291,0.384,0.0021,0.509,0.1631,0.160,0.440
0,24.976,-2.5660,0.117,0.0020,-0.712,0.1371,0.160,0.160
0,24.264,-2.4289,0.107,0.0049,0.762,-0.0228,0.080,0.320
0,25.025,-2.4517,0.000,0.0000,-0.107,0.0753,0.120,0.040
0,24.918,-2.3764,0.046,0.0066,0.021,0.0778,0.120,0.280
0,24.939,-2.2986,0.055,0.0066,-1.172,0.1381,0.160,0.240
0,23.767,-2.1605,0.102,0.0081,1.581,-0.0133,0.080,0.320
0,25.348,-2.1738,0.000,-0.0000,-0.328,0.1797,0.120,0.040
0,25.020,-1.9941,0.071,0.0115,0.052,0.1965,0.200,0.200
0,25.073,-1.7975,0.059,0.0075,-0.330,0.1566,0.160,0.200
0,24.743,-1.6409,0.000,-0.0000,0.156,0.0623,0.080,0.040
0,24.899,-1.5786,0.060,0.0129,0.052,0.1155,0.160,0.600
0,24.950,-1.4631,0.061,0.0056,0.015,0.1102,0.120,0.200
0,24.966,-1.3530,0.017,0.0016,0.016,0.0118,0.040,0.080
0,24.982,-1.3412,0.013,0.0054,-0.059,0.1077,0.160,0.160
