dataset_number,r_mm_mean,theta_mean,r_mm_std,theta_std,Delta_r_mm,Delta_theta,Delta_t_s,IB_duration_s
10,20.605,2.4410,0.190,0.0029,0.618,0.0029,0.040,0.240
10,21.222,2.4440,0.123,0.0010,1.108,0.0647,0.120,0.280
10,22.331,2.5087,0.000,-0.0000,0.448,0.0118,0.040,0.040
10,22.779,2.5204,0.114,0.0012,0.416,0.2237,0.160,0.080
10,23.195,2.7442,0.125,0.0056,-0.053,0.0213,0.040,0.120
10,23.142,2.7655,0.098,0.0041,0.055,-0.1312,0.120,0.200
10,23.198,2.6342,0.133,0.0035,-3.731,0.2648,0.240,0.200
10,19.467,2.8991,0.089,0.0063,1.720,0.1498,0.160,0.160
10,21.187,3.0489,0.235,0.0099,1.859,-0.1700,0.160,0.440
10,23.046,2.8789,0.000,0.0000,0.110,-0.0161,0.040,0.040
10,23.156,2.8628,0.079,0.0028,0.008,-0.1687,0.160,0.080
10,23.164,2.6940,0.110,0.0033,-0.061,-0.1430,0.160,0.280
10,23.103,2.5511,0.115,0.0047,-1.666,-0.1618,0.160,0.480
10,21.437,2.3892,0.069,0.0110,-0.024,-0.1136,0.120,0.480
10,21.414,2.2756,0.074,0.0039,0.232,-0.0318,0.040,0.080
10,21.646,2.2438,0.051,0.0041,1.792,-0.1078,0.160,0.520
10,23.438,2.1360,0.074,0.0045,-1.504,-0.2143,0.200,0.200
10,21.934,1.9217,0.027,0.0032,0.262,-0.0309,0.040,0.080
10,22.196,1.8908,0.055,0.0104,-2.023,-0.1862,0.160,0.560
10,20.174,1.7046,0.030,0.0059,0.011,-0.0478,0.040,0.080
10,20.185,1.6568,0.059,0.0082,-0.251,-0.2183,0.200,0.600
10,19.933,1.4385,0.101,0.0144,2.665,-0.0570,0.120,0.280
10,22.598,1.3815,0.000,-0.0000,0.618,-0.0168,0.040,0.040
10,23.216,1.3647,0.000,-0.0000,0.736,-0.0163,0.080,0.040
10,23.952,1.3484,0.000,-0.0000,-0.554,-0.1369,0.200,0.040
10,23.399,1.2115,0.121,0.0036,0.043,-0.1892,0.160,0.560
10,23.442,1.0224,0.110,0.0109,1.933,0.0240,0.120,0.360
10,25.375,1.0464,0.138,0.0033,-0.979,0.2109,0.200,0.480
10,24.396,1.2573,0.098,0.0051,0.016,0.1126,0.120,0.200
10,24.412,1.3699,0.075,0.0080,-0.803,0.1857,0.200,0.240
10,23.609,1.5556,0.000,-0.0000,-0.121,0.0374,0.040,0.040
10,23.488,1.5930,0.086,0.0100,0.238,0.1665,0.200,0.160
10,23.726,1.7595,0.000,-0.0000,0.017,0.0320,0.040,0.040
10,23.743,1.7915,0.038,0.0028,0.036,0.1380,0.160,0.080
10,23.779,1.9294,0.022,0.0080,-0.257,0.1192,0.120,0.120
10,23.522,2.0486,0.063,0.0038,-0.579,0.4974,0.440,0.120
10,22.943,2.5460,0.032,0.0014,-0.152,0.1885,0.160,0.080
10,22.791,2.7345,0.046,0.0051,0.272,0.6098,0.440,0.160
10,23.062,-2.9389,0.018,0.0047,0.226,0.3011,0.200,0.160
10,23.288,-2.6378,0.032,0.0135,0.925,0.6912,0.440,0.160
10,24.213,-1.9466,0.103,0.0079,0.041,0.0196,0.040,0.280
10,24.254,-1.9270,0.010,0.0018,0.219,0.2208,0.200,0.080
10,24.473,-1.7062,0.061,0.0078,0.317,0.0435,0.160,0.160
10,24.790,-1.6626,0.000,-0.0000,0.146,0.1413,0.160,0.040
10,24.936,-1.5214,0.030,0.0044,-0.936,0.1986,0.160,0.240
10,23.999,-1.3228,0.080,0.0082,0.145,0.0467,0.160,0.200
10,24.145,-1.2761,0.079,0.0028,0.094,-0.3362,0.200,0.200
10,24.239,-1.6123,0.070,0.0017,-0.199,-0.0154,0.040,0.080
10,24.040,-1.6277,0.151,0.0019,-5.803,-0.0717,0.120,0.480
10,18.236,-1.6993,0.109,0.0002,-0.803,-0.0320,0.040,0.080
10,17.434,-1.7313,0.130,0.0049,1.086,-0.2469,0.200,0.160
10,18.520,-1.9782,0.034,0.0077,0.061,-0.0398,0.040,0.120
10,18.581,-2.0180,0.062,0.0086,3.817,-0.1492,0.200,0.360
10,22.398,-2.1672,0.103,0.0090,-4.729,-0.1223,0.240,0.280
10,17.669,-2.2895,0.115,0.0090,1.309,-0.1598,0.160,0.320
10,18.977,-2.4492,0.072,0.0001,0.149,-0.0222,0.040,0.080
10,19.127,-2.4714,0.054,0.0048,3.727,-0.1068,0.160,0.320
10,22.853,-2.5783,0.154,0.0052,-4.864,-0.2586,0.240,0.200
10,17.989,-2.8368,0.006,0.0024,0.109,-0.0229,0.040,0.080
10,18.098,-2.8597,0.000,-0.0000,-0.142,-0.0268,0.040,0.040
10,17.956,-2.8865,0.070,0.0090,-4.300,-0.0828,0.200,0.600
10,13.656,-2.9693,0.000,-0.0000,-0.489,-0.0282,0.040,0.040
10,13.167,-2.9975,0.161,0.0078,-0.511,-0.0493,0.040,0.200
10,12.655,-3.0468,0.086,0.0122,4.760,-0.1784,0.240,0.560
10,17.415,3.0580,0.041,0.0037,0.718,-0.0660,0.040,0.080
10,18.134,2.9920,0.210,0.0223,0.361,-0.0406,0.080,0.520
10,18.494,2.9515,0.107,0.0054,1.239,0.0489,0.080,0.120
10,19.733,3.0003,0.000,-0.0000,1.893,0.0084,0.080,0.040
10,21.626,3.0087,0.208,0.0024,1.721,0.0611,0.120,0.280
10,23.347,3.0698,0.085,0.0044,-1.876,-0.2924,0.200,0.240
10,21.471,2.7774,0.120,0.0087,-2.039,-0.1826,0.160,0.520
10,19.432,2.5949,0.039,0.0057,0.384,-0.0575,0.040,0.080
10,19.816,2.5374,0.112,0.0135,1.626,-0.2016,0.160,0.280
10,21.442,2.3358,0.246,0.0178,-1.545,-0.2030,0.160,0.360
10,19.897,2.1328,0.034,0.0121,0.073,-0.0509,0.040,0.160
10,19.969,2.0819,0.043,0.0025,-0.265,-0.1456,0.120,0.160
10,19.705,1.9363,0.078,0.0120,0.196,-0.0437,0.040,0.200
10,19.901,1.8926,0.052,0.0063,0.802,-0.1210,0.120,0.200
10,20.703,1.7716,0.000,0.0000,0.275,-0.0291,0.040,0.040
10,20.977,1.7425,0.067,0.0026,0.202,-0.0165,0.040,0.160
10,21.179,1.7261,0.000,-0.0000,1.494,-0.1224,0.160,0.040
10,22.673,1.6036,0.000,-0.0000,0.786,-0.0387,0.040,0.040
10,23.460,1.5649,0.126,0.0098,-0.963,-0.1758,0.160,0.200
10,22.496,1.3892,0.117,0.0077,0.740,-0.1211,0.160,0.400
10,23.236,1.2681,0.000,-0.0000,0.400,-0.0356,0.040,0.040
10,23.636,1.2325,0.165,0.0084,1.467,0.0335,0.040,0.320
10,25.103,1.2660,0.113,0.0051,0.142,-0.1636,0.200,0.240
10,25.245,1.1024,0.082,0.0051,-2.053,-0.1546,0.160,0.440
10,23.192,0.9477,0.020,0.0018,0.109,-0.0181,0.040,0.080
10,23.301,0.9297,0.062,0.0052,2.282,-0.0474,0.160,0.520
10,25.584,0.8823,0.052,0.0025,-1.597,0.3852,0.240,0.160
10,23.986,1.2675,0.053,0.0078,-2.482,0.2111,0.320,0.600
10,21.504,1.4786,0.005,0.0048,-0.037,0.0234,0.040,0.080
10,21.467,1.5019,0.000,-0.0000,0.016,0.0145,0.040,0.040
10,21.483,1.5165,0.000,-0.0000,-1.127,0.1211,0.120,0.040
10,20.356,1.6375,0.024,0.0041,-0.172,0.0427,0.040,0.080
10,20.184,1.6803,0.064,0.0093,-0.563,0.1523,0.120,0.280
10,19.621,1.8325,0.000,-0.0000,0.232,0.0438,0.040,0.040
10,19.853,1.8764,0.051,0.0091,-0.719,0.1977,0.160,0.240
10,19.134,2.0740,0.068,0.0054,0.227,0.0446,0.040,0.080
10,19.361,2.1187,0.000,-0.0000,4.594,-0.0900,0.200,0.040
10,23.955,2.0286,0.058,0.0045,-0.802,0.1550,0.160,0.520
10,23.153,2.1837,0.021,0.0004,0.136,0.1607,0.160,0.080
10,23.289,2.3444,0.000,-0.0000,0.061,0.0191,0.040,0.040
10,23.350,2.3635,0.033,0.0019,-0.427,0.1887,0.160,0.080
10,22.923,2.5522,0.042,0.0062,-0.026,0.0251,0.040,0.080
10,22.896,2.5773,0.047,0.0027,0.014,0.1264,0.160,0.080
10,22.910,2.7037,0.038,0.0050,0.234,-0.0288,0.040,0.120
10,23.144,2.6749,0.000,0.0000,-0.112,0.3331,0.200,0.040
10,23.032,3.0079,0.052,0.0145,-0.084,0.1807,0.160,0.200
10,22.948,-3.0946,0.013,0.0064,0.196,0.2513,0.240,0.080
10,23.144,-2.8432,0.035,0.0076,0.277,0.1731,0.240,0.120
10,23.421,-2.6701,0.000,-0.0000,0.476,0.4821,0.440,0.040
10,23.898,-2.1880,0.094,0.0026,-0.141,-0.2894,0.160,0.200
10,23.757,-2.4774,0.035,0.0016,-0.154,-0.1213,0.160,0.080
10,23.603,-2.5988,0.044,0.0004,-0.734,-0.5516,0.360,0.080
10,22.869,3.1328,0.000,-0.0000,-0.024,-0.0435,0.040,0.040
10,22.845,3.0893,0.035,0.0078,0.042,-0.0320,0.040,0.240
10,22.887,3.0573,0.098,0.0058,-0.874,-0.2062,0.160,0.360
10,22.013,2.8511,0.000,0.0000,0.117,-0.0412,0.080,0.040
10,22.130,2.8099,0.022,0.0057,-0.033,-0.0248,0.040,0.120
10,22.097,2.7851,0.072,0.0021,0.053,-0.0188,0.040,0.120
10,22.150,2.7663,0.029,0.0043,-0.025,-0.0054,0.040,0.120
10,22.125,2.7610,0.003,0.0008,0.252,-0.1270,0.120,0.080
10,22.377,2.6340,0.000,-0.0000,0.360,-0.0527,0.040,0.040
10,22.737,2.5812,0.074,0.0123,-0.037,-0.0306,0.080,0.280
10,22.700,2.5507,0.076,0.0073,-0.867,-0.2174,0.200,0.480
10,21.833,2.3333,0.080,0.0108,0.259,-0.0467,0.040,0.160
10,22.092,2.2866,0.030,0.0065,0.455,-0.1788,0.200,0.160
10,22.547,2.1078,0.066,0.0094,0.043,-0.0329,0.040,0.200
10,22.590,2.0749,0.108,0.0064,-0.602,-0.1252,0.120,0.320
10,21.988,1.9498,0.000,-0.0000,0.338,-0.0744,0.040,0.040
10,22.325,1.8754,0.093,0.0231,-2.299,-0.1832,0.200,0.720
10,20.027,1.6922,0.053,0.0111,-1.917,-0.1361,0.120,0.440
10,18.109,1.5561,0.000,-0.0000,0.107,-0.0617,0.080,0.040
10,18.217,1.4944,0.046,0.0059,3.468,-0.0574,0.160,0.160
10,21.685,1.4370,0.105,0.0040,0.563,-0.0146,0.040,0.120
10,22.247,1.4224,0.100,0.0033,0.316,-0.0194,0.120,0.120
10,22.563,1.4030,0.102,0.0021,2.415,-0.0302,0.200,0.080
10,24.979,1.3728,0.055,0.0015,0.038,0.0083,0.040,0.120
10,25.017,1.3811,0.053,0.0017,-0.181,-0.2773,0.280,0.120
10,24.836,1.1038,0.154,0.0084,0.345,-0.0132,0.120,0.320
10,25.181,1.0906,0.000,-0.0000,0.092,-0.0336,0.080,0.040
10,25.273,1.0570,0.050,0.0046,-3.827,-0.2193,0.200,0.160
10,21.446,0.8378,0.000,0.0000,0.147,-0.0306,0.040,0.040
10,21.594,0.8072,0.060,0.0058,0.603,-0.1487,0.120,0.240
10,22.196,0.6585,0.195,0.0127,0.529,-0.1169,0.160,0.400
10,22.725,0.5416,0.000,-0.0000,0.147,-0.0191,0.040,0.040
10,22.872,0.5225,0.075,0.0044,-2.012,-0.1118,0.160,0.520
10,20.861,0.4108,0.099,0.0043,1.521,-0.1456,0.160,0.200
10,22.381,0.2652,0.043,0.0045,0.249,-0.0087,0.040,0.160
10,22.631,0.2565,0.000,-0.0000,3.586,0.0231,0.120,0.040
10,26.217,0.2796,0.080,0.0017,-3.276,0.2628,0.160,0.160
10,22.941,0.5424,0.036,0.0033,0.238,0.2024,0.240,0.600
10,23.180,0.7448,0.035,0.0082,-2.250,0.1638,0.160,0.200
10,20.929,0.9086,0.059,0.0053,-0.266,0.0409,0.040,0.080
10,20.663,0.9496,0.068,0.0083,-2.502,0.1954,0.160,0.320
10,18.161,1.1449,0.074,0.0173,-0.214,0.0393,0.040,0.240
10,17.947,1.1843,0.141,0.0051,-3.280,0.1571,0.160,0.280
10,14.667,1.3413,0.193,0.0141,4.275,0.1123,0.200,0.360
10,18.942,1.4536,0.180,0.0150,-3.313,0.2789,0.200,0.280
10,15.628,1.7326,0.071,0.0139,2.492,0.1783,0.160,0.480
10,18.120,1.9109,0.310,0.0182,1.465,0.1578,0.120,0.280
10,19.585,2.0687,0.000,-0.0000,0.845,0.0520,0.080,0.040
10,20.430,2.1207,0.173,0.0101,-0.436,0.2363,0.160,0.200
10,19.994,2.3570,0.073,0.0082,0.272,0.0280,0.040,0.200
10,20.266,2.3850,0.065,0.0039,1.610,0.1090,0.120,0.120
10,21.876,2.4940,0.000,-0.0000,0.761,0.0335,0.040,0.040
10,22.637,2.5275,0.181,0.0060,0.620,-0.0676,0.080,0.200
10,23.256,2.4599,0.055,0.0030,-0.021,-0.1069,0.160,0.280
10,23.235,2.3530,0.017,0.0019,-1.864,-0.2065,0.160,0.080
10,21.371,2.1466,0.000,-0.0000,0.660,-0.0092,0.040,0.040
10,22.031,2.1374,0.062,0.0016,1.835,0.1789,0.080,0.240
10,23.866,2.3162,0.000,-0.0000,-0.760,-0.0239,0.040,0.040
10,23.106,2.2923,0.139,0.0014,0.517,-0.1044,0.240,0.120
10,23.623,2.1879,0.159,0.0029,0.121,-0.1839,0.160,0.320
10,23.744,2.0040,0.103,0.0079,-0.571,-0.1441,0.160,0.240
10,23.173,1.8599,0.048,0.0088,0.936,-0.1469,0.200,0.240
10,24.109,1.7130,0.070,0.0122,-0.913,0.2955,0.280,0.280
10,23.197,2.0085,0.158,0.0019,-0.518,0.0044,0.040,0.120
10,22.679,2.0129,0.145,0.0046,-2.370,0.1837,0.200,0.240
10,20.309,2.1966,0.000,-0.0000,0.180,0.0148,0.040,0.040
10,20.490,2.2114,0.066,0.0009,1.432,0.1321,0.160,0.160
10,21.922,2.3436,0.102,0.0063,1.612,0.0427,0.120,0.440
10,23.534,2.3863,0.000,0.0000,-0.510,0.2014,0.200,0.040
10,23.024,2.5877,0.032,0.0007,-0.224,0.1985,0.120,0.120
10,22.800,2.7862,0.041,0.0107,0.228,0.1755,0.120,0.240
10,23.028,2.9617,0.000,-0.0000,-0.102,0.0298,0.040,0.040
10,22.926,2.9915,0.033,0.0015,0.553,0.7210,0.800,0.080
10,23.479,-2.5706,0.000,0.0000,0.175,0.0883,0.440,0.040
10,23.654,-2.4823,0.246,0.0024,-0.299,-0.2249,0.160,0.160
10,23.355,-2.7072,0.010,0.0026,0.063,-0.0281,0.040,0.080
10,23.418,-2.7353,0.071,0.0043,-0.031,-0.0035,0.080,0.200
10,23.387,-2.7389,0.072,0.0035,-0.534,0.0209,0.040,0.440
10,22.853,-2.7180,0.068,0.0009,0.856,0.1715,0.080,0.080
10,23.710,-2.5465,0.091,0.0025,-0.711,0.0050,0.040,0.120
10,22.998,-2.5415,0.000,-0.0000,0.733,0.1095,0.120,0.040
10,23.732,-2.4320,0.129,0.0029,-3.670,-0.3732,0.200,0.200
10,20.062,-2.8052,0.000,-0.0000,0.361,-0.0271,0.040,0.040
10,20.423,-2.8323,0.000,0.0000,0.795,-0.0122,0.040,0.040
10,21.217,-2.8445,0.180,0.0032,0.612,-0.0143,0.040,0.240
10,21.830,-2.8589,0.121,0.0033,1.746,0.0276,0.120,0.240
10,23.575,-2.8313,0.033,0.0016,-0.254,0.0137,0.040,0.120
10,23.322,-2.8175,0.089,0.0013,-2.626,-0.1614,0.160,0.160
10,20.696,-2.9789,0.118,0.0097,0.905,-0.0963,0.120,0.240
10,21.601,-3.0752,0.000,0.0000,0.375,-0.0331,0.040,0.040
10,21.976,-3.1083,0.083,0.0063,-2.190,-0.1787,0.160,0.360
10,19.786,2.9962,0.000,-0.0000,0.014,-0.0725,0.040,0.040
10,19.800,2.9236,0.043,0.0193,0.556,-0.2018,0.200,0.320
10,20.357,2.7219,0.013,0.0078,0.402,-0.0534,0.040,0.080
10,20.759,2.6684,0.086,0.0133,-0.973,-0.1918,0.160,0.240
10,19.786,2.4767,0.000,-0.0000,0.136,-0.0522,0.040,0.040
10,19.922,2.4245,0.073,0.0178,-0.063,-0.0280,0.040,0.280
10,19.860,2.3964,0.039,0.0058,-1.292,-0.1529,0.160,0.240
10,18.567,2.2436,0.000,-0.0000,0.201,-0.0404,0.040,0.040
10,18.768,2.2032,0.091,0.0089,2.611,-0.0737,0.120,0.160
10,21.379,2.1294,0.000,-0.0000,1.091,-0.0433,0.040,0.040
10,22.470,2.0861,0.373,0.0100,-0.636,-0.1884,0.200,0.680
10,21.834,1.8977,0.020,0.0052,0.221,-0.0235,0.040,0.120
10,22.055,1.8742,0.082,0.0032,1.729,-0.1575,0.160,0.120
10,23.783,1.7167,0.177,0.0139,0.541,-0.0827,0.080,0.480
10,24.325,1.6340,0.139,0.0036,0.181,-0.1464,0.200,0.080
10,24.505,1.4876,0.089,0.0045,0.109,0.0328,0.120,0.120
10,24.615,1.5205,0.000,0.0000,0.365,-0.1255,0.080,0.040
10,24.980,1.3950,0.107,0.0033,-0.501,-0.0249,0.040,0.080
10,24.479,1.3701,0.120,0.0058,0.549,-0.0703,0.120,0.160
10,25.027,1.2997,0.020,0.0027,-0.049,-0.1555,0.160,0.080
10,24.978,1.1442,0.000,-0.0000,0.135,-0.0330,0.040,0.040
10,25.113,1.1112,0.027,0.0065,-0.176,0.1652,0.120,0.120
10,24.937,1.2764,0.236,0.0009,-3.837,0.2548,0.160,0.120
10,21.101,1.5313,0.000,-0.0000,0.371,0.0194,0.040,0.040
10,21.471,1.5507,0.000,-0.0000,0.542,0.0099,0.040,0.040
10,22.013,1.5606,0.064,0.0010,0.656,0.1544,0.160,0.080
10,22.669,1.7150,0.000,-0.0000,0.201,0.0217,0.040,0.040
10,22.870,1.7367,0.000,0.0000,-0.448,0.1837,0.200,0.040
10,22.422,1.9204,0.000,-0.0000,-0.126,0.0468,0.040,0.040
10,22.296,1.9672,0.052,0.0145,-0.655,0.3589,0.360,0.280
10,21.641,2.3261,0.031,0.0079,0.100,0.0519,0.040,0.120
10,21.741,2.3781,0.052,0.0099,1.234,0.0177,0.160,0.360
10,22.976,2.3957,0.000,-0.0000,0.173,0.0811,0.080,0.040
10,23.149,2.4768,0.000,-0.0000,0.124,0.0254,0.040,0.040
10,23.273,2.5022,0.055,0.0028,-0.136,-0.0906,0.040,0.200
10,23.137,2.4116,0.214,0.0100,0.575,-0.3365,0.200,0.160
10,23.712,2.0751,0.048,0.0043,0.070,-0.2330,0.200,0.200
10,23.782,1.8420,0.064,0.0058,-0.044,-0.0338,0.040,0.080
10,23.738,1.8082,0.121,0.0078,0.632,0.0280,0.040,0.200
10,24.371,1.8362,0.000,-0.0000,-0.339,-0.0246,0.080,0.040
10,24.032,1.8116,0.000,-0.0000,0.227,-0.1815,0.160,0.040
10,24.260,1.6301,0.023,0.0047,0.089,-0.0282,0.040,0.120
10,24.348,1.6019,0.073,0.0044,-0.427,-0.1576,0.160,0.320
10,23.922,1.4443,0.000,-0.0000,0.065,-0.0168,0.040,0.040
10,23.987,1.4275,0.047,0.0008,0.085,-0.0219,0.040,0.080
10,24.072,1.4056,0.054,0.0024,0.564,-0.0762,0.120,0.080
10,24.636,1.3294,0.000,-0.0000,0.245,-0.0903,0.120,0.040
10,24.881,1.2391,0.107,0.0060,0.320,-0.2200,0.240,0.160
10,25.201,1.0191,0.029,0.0016,-0.005,-0.0279,0.040,0.120
10,25.197,0.9912,0.083,0.0071,-0.036,-0.0076,0.040,0.360
10,25.161,0.9836,0.092,0.0024,0.248,-0.0328,0.120,0.200
10,25.409,0.9509,0.149,0.0004,0.195,-0.1157,0.120,0.080
10,25.604,0.8352,0.042,0.0051,-0.098,-0.1495,0.200,0.120
10,25.506,0.6857,0.079,0.0060,-1.153,0.3214,0.240,0.680
10,24.353,1.0071,0.042,0.0041,-8.238,0.2920,0.320,0.080
10,16.115,1.2992,0.124,0.0433,-0.359,0.2041,0.160,0.800
10,15.756,1.5033,0.059,0.0155,0.459,0.2917,0.280,0.280
10,16.216,1.7950,0.143,0.0244,0.383,0.1933,0.160,0.400
10,16.598,1.9882,0.000,-0.0000,0.899,0.1021,0.040,0.040
10,17.497,2.0903,0.360,0.0321,0.559,0.0332,0.040,0.800
10,18.056,2.1235,0.047,0.0046,1.690,0.1439,0.160,0.360
10,19.747,2.2674,0.216,0.0085,4.072,-0.1895,0.160,0.240
10,23.819,2.0779,0.048,0.0025,-0.981,-0.2725,0.200,0.240
10,22.838,1.8055,0.108,0.0054,1.129,0.0980,0.080,0.280
10,23.966,1.9035,0.091,0.0010,-0.731,0.2258,0.200,0.160
10,23.236,2.1293,0.143,0.0029,0.751,-0.2239,0.160,0.400
10,23.987,1.9053,0.080,0.0060,-1.074,-0.1753,0.120,0.160
10,22.913,1.7300,0.000,-0.0000,0.268,-0.0419,0.080,0.040
10,23.181,1.6881,0.079,0.0083,1.117,-0.1074,0.120,0.240
10,24.297,1.5807,0.000,-0.0000,0.121,-0.0321,0.040,0.040
10,24.419,1.5486,0.109,0.0055,0.065,-0.0186,0.040,0.320
10,24.483,1.5300,0.063,0.0007,-0.033,-0.1759,0.200,0.080
10,24.450,1.3541,0.114,0.0147,-1.094,0.2291,0.160,0.600
10,23.356,1.5832,0.180,0.0015,-0.937,-0.0045,0.040,0.120
10,22.418,1.5787,0.119,0.0032,-0.861,-0.0045,0.040,0.080
10,21.557,1.5742,0.020,0.0044,-0.542,0.0046,0.040,0.080
10,21.015,1.5788,0.000,-0.0000,-4.587,0.0801,0.160,0.040
10,16.428,1.6589,0.000,-0.0000,-0.604,0.0434,0.040,0.040
10,15.824,1.7023,0.198,0.0054,1.584,0.1835,0.200,0.280
10,17.409,1.8858,0.092,0.0037,1.170,0.0487,0.040,0.080
10,18.578,1.9346,0.417,0.0068,0.156,0.1453,0.120,0.560
10,18.734,2.0799,0.084,0.0075,0.254,0.0296,0.040,0.160
10,18.989,2.1096,0.061,0.0041,3.158,-0.0238,0.160,0.560
10,22.147,2.0858,0.259,0.0051,-0.213,0.2562,0.280,0.240
10,21.934,2.3419,0.138,0.0051,-2.580,0.2069,0.200,0.280
10,19.354,2.5489,0.088,0.0078,0.966,0.1380,0.120,0.240
10,20.320,2.6869,0.000,-0.0000,0.341,0.0372,0.040,0.040
10,20.660,2.7241,0.087,0.0084,0.240,0.1193,0.120,0.440
10,20.901,2.8434,0.086,0.0063,0.016,0.0177,0.040,0.120
10,20.916,2.8611,0.143,0.0014,1.007,0.0700,0.080,0.120
10,21.924,2.9311,0.028,0.0018,-2.298,0.1708,0.160,0.120
10,19.625,3.1019,0.030,0.0027,2.149,0.1827,0.200,0.080
10,21.775,-2.9985,0.000,-0.0000,1.653,0.2092,0.520,0.040
10,23.427,-2.7894,0.007,0.0002,0.086,0.2099,0.200,0.120
10,23.513,-2.5795,0.000,-0.0000,0.076,0.0960,0.080,0.040
10,23.590,-2.4834,0.028,0.0095,0.417,0.1873,0.240,0.120
10,24.007,-2.2962,0.000,-0.0000,-0.515,-0.1064,0.120,0.040
10,23.492,-2.4026,0.000,-0.0000,-0.740,-0.0060,0.040,0.040
10,22.752,-2.4086,0.000,-0.0000,-0.561,-0.1852,0.160,0.040
10,22.191,-2.5938,0.208,0.0047,1.324,-0.0435,0.080,0.120
10,23.514,-2.6373,0.093,0.0007,-0.199,0.0183,0.040,0.120
10,23.315,-2.6190,0.074,0.0033,-0.162,0.1166,0.120,0.160
10,23.153,-2.5024,0.154,0.0005,0.546,0.0487,0.120,0.080
10,23.699,-2.4536,0.000,-0.0000,-0.336,0.0130,0.040,0.040
10,23.363,-2.4406,0.000,0.0000,0.409,-0.0546,0.040,0.040
10,23.772,-2.4952,0.095,0.0006,-0.405,0.0031,0.040,0.080
10,23.367,-2.4921,0.000,-0.0000,-0.914,0.0117,0.040,0.040
10,22.453,-2.4805,0.317,0.0032,-5.286,-0.4216,0.240,0.480
10,17.167,-2.9020,0.000,-0.0000,1.133,-0.0415,0.080,0.040
10,18.300,-2.9435,0.000,-0.0000,1.229,-0.1691,0.160,0.040
10,19.529,-3.1126,0.065,0.0094,0.213,-0.0208,0.040,0.280
10,19.742,-3.1334,0.128,0.0006,3.428,-0.2110,0.240,0.080
10,23.169,2.9388,0.103,0.0040,-0.298,-0.2629,0.200,0.120
10,22.871,2.6759,0.077,0.0074,0.288,-0.2917,0.280,0.160
10,23.159,2.3842,0.002,0.0035,-0.085,-0.0146,0.040,0.080
10,23.074,2.3696,0.000,0.0000,0.267,-0.2072,0.160,0.040
10,23.341,2.1624,0.094,0.0136,0.043,-0.1016,0.160,0.840
10,23.384,2.0608,0.036,0.0113,-0.759,-0.2439,0.200,0.160
10,22.625,1.8168,0.140,0.0108,-0.040,-0.1102,0.120,0.680
10,22.585,1.7066,0.000,0.0000,0.194,-0.0296,0.040,0.040
10,22.779,1.6770,0.047,0.0057,-2.096,-0.2012,0.200,0.320
10,20.682,1.4758,0.004,0.0060,0.062,-0.0402,0.040,0.120
10,20.744,1.4356,0.088,0.0071,0.677,-0.1208,0.120,0.240
10,21.421,1.3148,0.091,0.0108,1.078,-0.1310,0.160,0.360
10,22.499,1.1838,0.089,0.0080,2.833,-0.0321,0.160,0.320
10,25.331,1.1517,0.095,0.0055,-0.445,-0.0572,0.120,0.280
10,24.886,1.0946,0.046,0.0027,-0.218,0.3001,0.240,0.520
10,24.669,1.3947,0.000,0.0000,-0.115,0.0226,0.040,0.040
10,24.553,1.4173,0.056,0.0042,-0.972,0.2727,0.280,0.120
10,23.581,1.6900,0.031,0.0110,-0.854,0.1859,0.160,0.120
10,22.727,1.8760,0.049,0.0071,-0.041,0.0605,0.040,0.120
10,22.686,1.9365,0.056,0.0153,-2.076,0.2263,0.240,0.560
10,20.609,2.1628,0.070,0.0014,0.095,0.0296,0.040,0.080
10,20.705,2.1924,0.120,0.0018,1.553,0.0613,0.080,0.120
10,22.257,2.2536,0.000,-0.0000,0.367,0.0246,0.040,0.040
10,22.625,2.2782,0.023,0.0022,0.538,0.1248,0.160,0.160
10,23.163,2.4031,0.081,0.0071,-0.034,0.2319,0.200,0.240
10,23.129,2.6350,0.070,0.0065,-0.145,0.1523,0.080,0.160
10,22.984,2.7873,0.000,0.0000,-0.025,0.3007,0.200,0.040
10,22.959,3.0880,0.000,0.0000,0.336,0.5662,0.400,0.040
10,23.295,-2.6290,0.089,0.0076,1.655,1.3053,0.880,0.120
10,24.950,-1.3237,0.036,0.0063,0.263,0.3926,0.280,0.120
10,25.213,-0.9311,0.000,-0.0000,-1.234,-0.4591,0.360,0.040
10,23.979,-1.3902,0.000,-0.0000,0.581,-0.0037,0.040,0.040
10,24.560,-1.3939,0.109,0.0074,-2.651,-0.1326,0.160,0.960
10,21.909,-1.5265,0.071,0.0124,2.329,-0.1411,0.160,0.400
10,24.238,-1.6676,0.046,0.0095,-3.339,-0.2417,0.240,0.200
10,20.899,-1.9092,0.081,0.0260,-2.936,-0.0541,0.160,1.120
10,17.963,-1.9633,0.000,0.0000,-0.301,-0.0306,0.040,0.040
10,17.661,-1.9940,0.000,0.0000,-0.279,-0.0543,0.040,0.040
10,17.382,-2.0483,0.157,0.0217,0.158,-0.1850,0.160,0.440
10,17.541,-2.2333,0.060,0.0059,0.060,-0.0449,0.040,0.160
10,17.600,-2.2781,0.082,0.0064,3.342,-0.1436,0.160,0.400
10,20.943,-2.4218,0.246,0.0170,-1.196,-0.1692,0.120,0.440
10,19.747,-2.5910,0.063,0.0040,0.160,-0.0615,0.040,0.080
